Project_ID,Project_Name,Category,Contractor,Start_Date,Planned_End_Date,Actual_End_Date,Budget_MYR,Actual_Cost_MYR,Delay_Days
P0026,Project_26,Residential,Gamuda,2022-10-13,2024-04-28,2024-04-28,123952003,148691386,0
P0027,Project_27,Commercial,UEM,2023-10-30,2025-08-03,2025-08-03,68452636,73242567,0
P0028,Project_28,Industrial,Sunway,2022-03-02,2022-11-15,2022-11-15,109803042,128955405,0
P0029,Project_29,Residential,WCT,2023-03-10,2024-12-28,2025-06-25,46552957,49789530,179
P0030,Project_30,Commercial,Gamuda,2024-01-24,2025-10-30,2025-10-30,20345186,21705790,0
P0031,Project_31,Residential,WCT,2023-06-05,2023-11-24,2023-11-24,23243105,22832198,0
P0032,Project_32,Infrastructure,Sunway,2022-09-10,2024-07-23,2024-07-23,27007253,29823712,0
P0033,Project_33,Industrial,Sunway,2022-07-29,2023-09-13,2023-09-13,111242954,125251253,0
P0034,Project_34,Infrastructure,IJM,2024-02-09,2024-07-22,2024-08-03,31838513,31169327,12
P0035,Project_35,Infrastructure,WCT,2022-12-24,2023-06-02,2023-06-02,81500721,97133434,0
P0036,Project_36,Residential,Gamuda,2024-04-06,2025-12-28,2025-12-28,32806289,31067617,0
P0037,Project_37,Commercial,SP Setia,2024-01-31,2025-11-17,2025-11-17,80633373,92822257,0
P0038,Project_38,Residential,SP Setia,2023-10-12,2024-10-06,2025-02-22,72409847,104841126,139
P0039,Project_39,Infrastructure,IJM,2023-03-10,2024-03-17,2024-03-17,94538401,106165648,0
P0040,Project_40,Commercial,WCT,2024-01-30,2025-07-25,2025-12-23,7595690,9951613,151
P0041,Project_41,Residential,Sunway,2022-02-06,2023-05-20,2023-05-20,120369993,121319763,0
P0042,Project_42,Industrial,WCT,2022-08-04,2023-07-15,2023-07-15,99939884,120872007,0
P0043,Project_43,Infrastructure,UEM,2024-02-07,2024-10-12,2024-10-12,52527133,47730104,0
P0044,Project_44,Industrial,IJM,2024-04-01,2025-03-11,2025-03-11,34016698,31076077,0
P0045,Project_45,Industrial,Sunway,2022-07-24,2024-02-05,2024-02-05,66094699,74753872,0
P0046,Project_46,Infrastructure,Gamuda,2022-10-13,2023-03-23,2023-03-23,141742544,176243018,0
P0047,Project_47,Infrastructure,UEM,2022-04-29,2023-04-21,2023-04-21,15269588,16065092,0
P0048,Project_48,Residential,WCT,2023-09-13,2025-05-18,2025-06-26,56023882,65882151,39
P0049,Project_49,Infrastructure,WCT,2024-04-05,2026-01-06,2026-01-06,120775514,136776239,0
P0050,Project_50,Commercial,IJM,2022-11-18,2023-06-23,2023-06-23,114627137,131136074,0
P0051,Project_51,Infrastructure,IJM,2023-03-07,2024-06-27,2024-06-27,114004973,102620673,0
P0052,Project_52,Industrial,SP Setia,2023-03-17,2025-01-28,2025-01-28,129819316,147535697,0
P0053,Project_53,Infrastructure,IJM,2022-06-23,2022-12-16,2022-12-16,30068434,34966532,0
P0054,Project_54,Residential,UEM,2024-04-05,2025-01-23,2025-01-23,17405401,18559339,0
P0055,Project_55,Residential,Gamuda,2023-03-01,2025-01-08,2025-03-08,137708361,137401515,59
P0056,Project_56,Residential,UEM,2024-03-08,2025-08-15,2025-08-15,144038225,157735111,0
P0057,Project_57,Industrial,WCT,2022-05-17,2023-12-03,2023-12-03,123802399,142588903,0
P0058,Project_58,Infrastructure,WCT,2023-04-02,2023-12-10,2024-04-19,74576201,104248354,131
P0059,Project_59,Infrastructure,Sunway,2023-05-12,2024-04-10,2024-06-29,25799279,27873347,80
P0060,Project_60,Commercial,Gamuda,2023-07-08,2023-12-27,2023-12-27,67078781,63958399,0
P0061,Project_61,Industrial,WCT,2023-03-01,2024-07-20,2024-10-22,116608546,143632657,94
P0062,Project_62,Industrial,UEM,2023-12-14,2024-04-02,2024-09-06,133038272,142140875,157
P0063,Project_63,Residential,UEM,2023-07-06,2025-04-15,2025-04-15,136058103,143206948,0
P0064,Project_64,Industrial,WCT,2022-12-11,2024-04-28,2024-06-19,39259824,46262283,52
P0065,Project_65,Infrastructure,UEM,2023-08-01,2023-11-26,2023-12-27,41426552,41727348,31
P0066,Project_66,Industrial,Sunway,2022-12-02,2023-10-04,2023-10-04,95597113,98722581,0
P0067,Project_67,Commercial,SP Setia,2024-05-04,2024-10-24,2024-10-24,149799199,184728161,0
P0068,Project_68,Commercial,IJM,2022-03-12,2022-07-21,2022-07-21,58515475,65389140,0
P0069,Project_69,Commercial,WCT,2023-04-30,2023-11-23,2023-11-23,129831609,151697113,0
P0070,Project_70,Industrial,UEM,2023-09-14,2024-04-08,2024-04-08,34017537,41675242,0
P0071,Project_71,Residential,WCT,2024-01-03,2024-10-22,2024-10-22,32353922,32533613,0
P0072,Project_72,Residential,UEM,2024-03-12,2024-07-22,2024-10-28,104474363,121954929,98
P0073,Project_73,Commercial,UEM,2024-04-22,2025-12-04,2026-01-10,102224110,126803687,37
P0074,Project_74,Infrastructure,Sunway,2022-06-30,2024-03-15,2024-03-15,149464689,158836994,0
P0075,Project_75,Industrial,Sunway,2024-05-22,2025-04-28,2025-04-28,126011240,133905587,0
P0076,Project_76,Infrastructure,Sunway,2022-01-30,2023-09-18,2023-09-18,135875689,160230227,0
P0077,Project_77,Industrial,UEM,2023-09-03,2024-09-09,2024-09-09,143681071,133618300,0
P0078,Project_78,Commercial,UEM,2023-07-23,2024-06-23,2024-11-01,125305938,137678313,131
P0079,Project_79,Infrastructure,Sunway,2023-12-10,2024-11-13,2024-11-13,132039895,134722297,0
P0080,Project_80,Infrastructure,Gamuda,2023-12-21,2025-06-27,2025-06-27,72485660,83536063,0
P0081,Project_81,Infrastructure,Gamuda,2024-01-31,2025-10-30,2025-10-30,63085309,62881850,0
P0082,Project_82,Commercial,Sunway,2024-05-02,2025-02-14,2025-02-14,101873274,92190415,0
P0083,Project_83,Residential,Gamuda,2022-02-16,2022-07-11,2022-07-11,38897892,45256812,0
P0084,Project_84,Infrastructure,UEM,2023-08-11,2024-08-26,2025-01-03,123237443,167248493,130
P0085,Project_85,Commercial,IJM,2022-04-27,2022-09-30,2023-01-20,24886281,31759692,112
P0086,Project_86,Commercial,WCT,2024-04-10,2026-02-05,2026-02-05,71623252,83624100,0
P0087,Project_87,Residential,IJM,2023-01-25,2024-07-29,2024-07-29,120113132,134209556,0
P0088,Project_88,Commercial,Gamuda,2023-10-03,2024-08-04,2024-08-04,47159692,51554847,0
P0089,Project_89,Infrastructure,SP Setia,2023-02-23,2024-08-27,2025-02-05,83184321,87552066,162
P0090,Project_90,Commercial,UEM,2024-05-30,2025-12-05,2025-12-05,76015841,85044265,0
P0091,Project_91,Commercial,Sunway,2022-04-28,2024-02-04,2024-02-04,76305173,70581784,0
P0092,Project_92,Industrial,Sunway,2023-09-02,2025-07-05,2025-09-26,38380930,41564665,83
P0093,Project_93,Infrastructure,WCT,2023-05-28,2025-02-28,2025-07-14,26593445,37001803,136
P0094,Project_94,Infrastructure,WCT,2022-09-14,2023-01-08,2023-01-08,10568815,11998760,0
P0095,Project_95,Industrial,Gamuda,2022-02-11,2022-11-07,2023-03-17,79667087,94001264,130
P0096,Project_96,Infrastructure,UEM,2023-04-27,2024-07-16,2024-07-16,91183419,109438939,0
P0097,Project_97,Infrastructure,Gamuda,2023-12-12,2025-07-31,2025-10-22,14850811,16117353,83
P0098,Project_98,Infrastructure,WCT,2024-03-02,2025-07-18,2025-07-18,129010831,124579810,0
P0099,Project_99,Infrastructure,UEM,2024-02-14,2025-10-06,2026-03-25,18854431,22528661,170
P0100,Project_100,Residential,WCT,2023-12-17,2025-07-25,2025-07-25,69235923,69842606,0
P0101,Project_101,Commercial,UEM,2023-02-22,2023-08-26,2023-08-26,128868974,145196465,0
P0102,Project_102,Commercial,UEM,2024-01-04,2025-01-26,2025-01-26,116532338,144859673,0
P0103,Project_103,Residential,Sunway,2023-07-19,2024-03-13,2024-03-13,141429875,134044112,0
P0104,Project_104,Industrial,IJM,2024-03-02,2025-07-29,2025-07-29,5688606,5714173,0
P0105,Project_105,Industrial,Sunway,2023-04-03,2025-01-03,2025-01-03,94238670,102739047,0
P0106,Project_106,Infrastructure,SP Setia,2024-06-09,2025-03-19,2025-05-29,67696440,77916914,71
P0107,Project_107,Infrastructure,Gamuda,2023-04-30,2024-08-22,2024-08-22,137963770,130263486,0
P0108,Project_108,Commercial,Gamuda,2024-06-14,2025-12-06,2026-01-10,9119839,9937366,35
P0109,Project_109,Industrial,Sunway,2023-04-26,2024-04-21,2024-07-26,26559479,36228835,96
P0110,Project_110,Infrastructure,IJM,2023-10-04,2025-05-15,2025-05-15,23366554,26627119,0
P0111,Project_111,Residential,Gamuda,2024-02-04,2024-08-04,2024-08-04,31979706,36549619,0
P0112,Project_112,Industrial,WCT,2022-11-29,2023-04-25,2023-04-25,105620638,104085875,0
P0113,Project_113,Commercial,UEM,2023-11-30,2024-08-30,2024-08-30,26197904,27085764,0
P0114,Project_114,Industrial,Sunway,2023-08-21,2024-04-13,2024-06-21,73176523,88108441,69
P0115,Project_115,Infrastructure,SP Setia,2023-11-25,2025-09-04,2025-09-04,123575935,153935835,0
P0116,Project_116,Residential,IJM,2023-03-11,2024-02-20,2024-02-20,58476905,70094360,0
P0117,Project_117,Industrial,Sunway,2023-01-26,2024-12-01,2024-12-01,84250403,100301212,0
P0118,Project_118,Infrastructure,IJM,2022-01-09,2023-11-09,2023-12-01,81824657,82591774,22
P0119,Project_119,Residential,Sunway,2023-10-14,2024-07-24,2024-07-24,41716396,50735117,0
P0120,Project_120,Industrial,IJM,2024-03-18,2025-09-10,2025-09-10,40275588,40408040,0
P0121,Project_121,Commercial,Sunway,2022-07-25,2023-03-07,2023-03-07,147499599,146818825,0
P0122,Project_122,Commercial,SP Setia,2024-04-24,2025-11-28,2025-11-28,35915633,33270618,0
P0123,Project_123,Residential,UEM,2024-01-12,2025-05-22,2025-05-22,29240492,26458888,0
P0124,Project_124,Residential,WCT,2023-01-13,2024-01-06,2024-06-13,104716696,109719870,159
P0125,Project_125,Infrastructure,SP Setia,2023-07-29,2024-09-26,2024-09-26,21969694,23342660,0
P0126,Project_126,Residential,IJM,2023-02-23,2023-09-20,2023-09-20,14989054,16074540,0
P0127,Project_127,Industrial,WCT,2023-07-05,2024-02-18,2024-06-06,104592645,137108918,109
P0128,Project_128,Infrastructure,Gamuda,2024-01-31,2024-10-05,2024-10-05,136358094,167538904,0
P0129,Project_129,Residential,SP Setia,2023-12-08,2025-03-21,2025-05-25,124372134,164455146,65
P0130,Project_130,Residential,UEM,2023-01-12,2024-10-20,2024-10-20,21253791,20540364,0
P0131,Project_131,Commercial,WCT,2022-04-04,2023-02-05,2023-02-05,18577065,18303036,0
P0132,Project_132,Commercial,WCT,2022-07-30,2023-01-06,2023-01-06,62968999,61807191,0
P0133,Project_133,Residential,IJM,2022-01-03,2023-01-11,2023-01-11,72284473,67837114,0
P0134,Project_134,Industrial,WCT,2022-01-16,2023-04-17,2023-04-17,9236202,8481970,0
P0135,Project_135,Commercial,WCT,2022-04-27,2022-09-29,2023-02-07,102184097,108136017,131
P0136,Project_136,Industrial,UEM,2022-02-14,2023-10-30,2024-01-25,13361936,14709233,87
P0137,Project_137,Commercial,Gamuda,2023-12-04,2024-06-21,2024-11-03,24727512,30133389,135
P0138,Project_138,Industrial,WCT,2022-05-10,2023-05-16,2023-05-16,107248244,116438870,0
P0139,Project_139,Industrial,Sunway,2023-09-12,2025-02-23,2025-02-23,62719814,75943148,0
P0140,Project_140,Infrastructure,Sunway,2024-04-27,2025-11-02,2026-02-22,30524410,33233716,112
P0141,Project_141,Infrastructure,IJM,2022-06-06,2024-01-02,2024-01-02,27914821,26066791,0
P0142,Project_142,Industrial,SP Setia,2023-07-24,2023-12-22,2023-12-22,37811210,45591342,0
P0143,Project_143,Commercial,SP Setia,2022-02-22,2023-03-13,2023-03-13,99394305,107106745,0
P0144,Project_144,Commercial,UEM,2023-05-09,2024-03-23,2024-03-23,103666418,103407135,0
P0145,Project_145,Infrastructure,Sunway,2024-05-15,2026-03-10,2026-03-10,76792452,76457992,0
P0146,Project_146,Residential,Gamuda,2022-12-26,2023-04-01,2023-04-01,112584729,130523886,0
P0147,Project_147,Infrastructure,SP Setia,2024-02-04,2025-10-29,2026-01-02,117697926,118955051,65
P0148,Project_148,Residential,SP Setia,2022-11-29,2024-09-30,2024-09-30,19122074,22259099,0
P0149,Project_149,Commercial,WCT,2022-03-25,2023-03-28,2023-07-29,135368821,160691676,123
P0150,Project_150,Infrastructure,Gamuda,2022-04-27,2023-07-14,2023-07-14,81033395,89752344,0
P0151,Project_151,Commercial,Sunway,2022-08-14,2023-12-21,2023-12-21,7063486,8694186,0
P0152,Project_152,Industrial,WCT,2022-10-24,2023-12-23,2023-12-23,138515857,133182051,0
P0153,Project_153,Industrial,Gamuda,2023-12-22,2024-11-11,2024-11-11,24347618,28236284,0
P0154,Project_154,Residential,UEM,2023-04-16,2023-10-02,2023-12-31,113561440,132129019,90
P0155,Project_155,Commercial,UEM,2022-01-22,2023-03-20,2023-05-12,102134092,124662796,53
P0156,Project_156,Commercial,Sunway,2023-08-27,2025-01-08,2025-01-08,111237812,129150624,0
P0157,Project_157,Infrastructure,Sunway,2024-03-08,2024-11-25,2024-11-25,147433147,179436896,0
P0158,Project_158,Commercial,SP Setia,2024-01-15,2024-09-12,2024-09-12,44310821,42570498,0
P0159,Project_159,Industrial,SP Setia,2022-03-19,2022-12-15,2023-06-03,129541453,184611101,170
P0160,Project_160,Infrastructure,Sunway,2023-08-02,2024-09-25,2024-09-25,45522318,48441317,0
P0161,Project_161,Infrastructure,Sunway,2023-08-29,2024-01-23,2024-01-23,88324472,80654598,0
P0162,Project_162,Residential,UEM,2022-03-20,2022-09-18,2023-03-04,129208214,187902796,167
P0163,Project_163,Residential,UEM,2024-04-09,2026-02-13,2026-02-13,91309183,98201068,0
P0164,Project_164,Industrial,WCT,2022-04-16,2023-07-01,2023-07-01,15507135,16332353,0
P0165,Project_165,Infrastructure,SP Setia,2023-06-20,2025-06-03,2025-06-03,105086691,108827335,0
P0166,Project_166,Industrial,Sunway,2023-09-05,2024-01-26,2024-01-26,22693079,24855437,0
P0167,Project_167,Infrastructure,Sunway,2022-09-16,2024-08-23,2024-08-23,26878022,25520680,0
P0168,Project_168,Infrastructure,IJM,2023-11-03,2025-03-08,2025-03-08,88102754,99135213,0
P0169,Project_169,Commercial,IJM,2023-11-18,2025-08-08,2025-09-10,141496339,148994275,33
P0170,Project_170,Residential,WCT,2022-12-16,2024-07-25,2024-07-25,41927419,42075306,0
P0171,Project_171,Industrial,IJM,2024-02-29,2025-12-02,2025-12-02,95399497,106495509,0
P0172,Project_172,Commercial,UEM,2022-06-16,2023-03-18,2023-03-18,122487061,125856042,0
P0173,Project_173,Industrial,IJM,2023-09-18,2024-10-03,2024-10-03,148347527,183648129,0
P0174,Project_174,Industrial,IJM,2023-01-12,2024-11-16,2025-03-18,80637522,100951000,122
P0175,Project_175,Infrastructure,WCT,2024-04-16,2025-02-04,2025-02-04,72109727,77028095,0
P0176,Project_176,Commercial,UEM,2022-04-16,2023-12-25,2023-12-25,27515056,27390604,0
P0177,Project_177,Infrastructure,IJM,2022-04-04,2023-02-15,2023-02-15,12159225,12630503,0
P0178,Project_178,Infrastructure,IJM,2023-01-31,2023-07-23,2023-07-23,12566536,11745678,0
P0179,Project_179,Residential,Gamuda,2022-05-21,2022-09-27,2022-12-19,42256879,49871789,83
P0180,Project_180,Commercial,Sunway,2022-01-20,2023-01-07,2023-01-07,146672584,171850461,0
P0181,Project_181,Industrial,WCT,2022-05-05,2022-09-20,2022-11-30,127705503,156226041,71
P0182,Project_182,Infrastructure,IJM,2023-07-03,2023-10-17,2023-10-17,43541115,39210843,0
P0183,Project_183,Residential,UEM,2023-08-08,2025-01-05,2025-01-05,145521814,134416718,0
P0184,Project_184,Residential,Sunway,2024-06-13,2026-01-05,2026-01-26,105207597,96528407,21
P0185,Project_185,Commercial,SP Setia,2022-09-04,2023-03-19,2023-03-19,40811865,44530022,0
P0186,Project_186,Industrial,Gamuda,2023-04-21,2024-11-21,2024-11-21,41199214,48271744,0
P0187,Project_187,Industrial,WCT,2022-10-28,2023-08-20,2023-08-20,16249040,16387588,0
P0188,Project_188,Infrastructure,Sunway,2023-04-30,2024-04-13,2024-04-13,81802308,95978202,0
P0189,Project_189,Commercial,UEM,2022-05-08,2023-08-17,2023-12-16,123040903,150500564,121
P0190,Project_190,Commercial,WCT,2023-12-10,2025-07-31,2025-07-31,27175857,25208989,0
P0191,Project_191,Industrial,IJM,2022-10-28,2023-12-20,2023-12-20,93025329,93701953,0
P0192,Project_192,Industrial,Sunway,2023-12-08,2025-06-04,2025-09-11,16369626,22463842,99
P0193,Project_193,Commercial,Gamuda,2023-10-17,2024-03-13,2024-04-11,102525589,122558542,29
P0194,Project_194,Infrastructure,Sunway,2022-05-27,2024-05-08,2024-05-08,38884614,45591447,0
P0195,Project_195,Residential,WCT,2023-01-28,2024-11-28,2024-11-28,125775169,129574168,0
P0196,Project_196,Residential,Gamuda,2022-05-21,2024-02-12,2024-05-25,89392199,98842647,103
P0197,Project_197,Industrial,IJM,2024-01-24,2024-10-30,2025-03-16,36611227,39430014,137
P0198,Project_198,Commercial,SP Setia,2023-09-19,2024-10-05,2024-10-05,37920232,35111033,0
P0199,Project_199,Infrastructure,IJM,2023-04-01,2023-09-27,2023-09-27,22431950,22468442,0
P0200,Project_200,Commercial,UEM,2023-12-30,2024-09-23,2024-09-23,37577984,44237666,0
P0201,Project_201,Residential,Gamuda,2022-01-27,2023-05-01,2023-05-01,130468299,142611822,0
P0202,Project_202,Infrastructure,SP Setia,2022-11-13,2024-03-24,2024-08-03,114906474,126067014,132
P0203,Project_203,Commercial,IJM,2022-03-17,2023-09-18,2023-09-18,39449559,46277963,0
P0204,Project_204,Infrastructure,SP Setia,2023-03-20,2024-11-13,2024-11-13,144076982,137972437,0
P0205,Project_205,Infrastructure,IJM,2022-08-19,2023-11-06,2023-11-06,26168794,29368451,0
P0206,Project_206,Commercial,IJM,2023-10-03,2024-11-06,2024-11-06,139908451,154897256,0
P0207,Project_207,Infrastructure,SP Setia,2023-11-06,2025-10-15,2025-10-15,12616451,15543359,0
P0208,Project_208,Infrastructure,UEM,2022-08-04,2024-06-09,2024-06-09,138691072,151305318,0
P0209,Project_209,Industrial,UEM,2022-09-08,2024-01-26,2024-04-21,24588546,25949217,86
P0210,Project_210,Infrastructure,UEM,2023-04-21,2024-02-13,2024-02-13,88908224,89953850,0
P0211,Project_211,Industrial,IJM,2022-05-14,2023-08-26,2023-08-26,90662019,85483646,0
P0212,Project_212,Commercial,Sunway,2022-05-25,2022-11-30,2022-11-30,108119434,113130462,0
P0213,Project_213,Infrastructure,UEM,2023-08-15,2024-09-28,2024-09-28,138752136,147546980,0
P0214,Project_214,Residential,Sunway,2022-01-24,2022-07-25,2022-11-12,69620103,75714659,110
P0215,Project_215,Industrial,IJM,2023-05-22,2025-04-22,2025-10-16,81704997,115223142,177
P0216,Project_216,Commercial,Sunway,2022-09-28,2024-01-05,2024-01-05,17144663,18852247,0
P0217,Project_217,Residential,IJM,2023-07-21,2024-08-09,2024-09-06,140360063,157161338,28
P0218,Project_218,Industrial,WCT,2022-04-10,2023-08-16,2023-08-16,103141713,100013451,0
P0219,Project_219,Commercial,WCT,2022-02-11,2022-06-27,2022-06-27,94399933,102118680,0
P0220,Project_220,Infrastructure,WCT,2023-06-12,2024-01-31,2024-01-31,48621310,54250450,0
P0221,Project_221,Infrastructure,SP Setia,2022-12-11,2024-08-11,2024-12-29,85474417,87445877,140
P0222,Project_222,Commercial,SP Setia,2022-04-23,2023-09-21,2023-09-21,12153041,12067187,0
P0223,Project_223,Industrial,IJM,2022-02-22,2024-01-10,2024-01-10,145722545,162758608,0
P0224,Project_224,Commercial,UEM,2024-04-21,2025-03-25,2025-03-25,56213279,56763740,0
P0225,Project_225,Infrastructure,SP Setia,2023-12-09,2024-10-02,2025-01-25,21718505,26841131,115
P0226,Project_226,Infrastructure,SP Setia,2023-05-05,2025-01-22,2025-01-22,51488303,55946905,0
P0227,Project_227,Infrastructure,IJM,2024-03-01,2025-02-24,2025-08-09,56610519,71341126,166
P0228,Project_228,Infrastructure,Sunway,2022-11-01,2023-11-21,2024-01-23,90104976,104565091,63
P0229,Project_229,Commercial,Sunway,2022-05-05,2024-03-12,2024-08-08,110906498,165321284,149
P0230,Project_230,Commercial,IJM,2022-02-13,2023-03-04,2023-03-04,123749432,143743438,0
P0231,Project_231,Commercial,IJM,2024-04-27,2026-01-28,2026-01-28,41848929,48515958,0
P0232,Project_232,Industrial,Gamuda,2022-02-21,2023-11-16,2023-11-16,19090474,19388338,0
P0233,Project_233,Industrial,UEM,2023-11-29,2024-07-16,2024-07-16,114228387,138013776,0
P0234,Project_234,Residential,SP Setia,2023-10-29,2024-08-18,2024-08-18,81615597,99389673,0
P0235,Project_235,Residential,UEM,2023-08-11,2024-07-03,2024-07-03,51993593,62036764,0
P0236,Project_236,Residential,Sunway,2024-03-17,2025-11-04,2025-11-04,15057251,16544706,0
P0237,Project_237,Commercial,Gamuda,2022-10-19,2024-04-26,2024-10-17,41024022,54575046,174
P0238,Project_238,Infrastructure,WCT,2022-12-05,2023-08-18,2023-08-18,54982432,55971525,0
P0239,Project_239,Residential,IJM,2023-11-22,2024-09-04,2024-10-28,119810717,117364728,54
P0240,Project_240,Infrastructure,Sunway,2022-05-24,2023-12-23,2023-12-23,6833447,6713399,0
P0241,Project_241,Residential,SP Setia,2022-11-06,2024-09-22,2024-09-22,75210139,85925252,0
P0242,Project_242,Infrastructure,SP Setia,2022-05-02,2023-11-19,2023-11-19,113828192,139221793,0
P0243,Project_243,Industrial,SP Setia,2022-05-01,2023-05-28,2023-05-28,63821885,68121161,0
P0244,Project_244,Commercial,SP Setia,2023-09-13,2024-12-28,2025-04-23,149288805,205760127,116
P0245,Project_245,Residential,Gamuda,2024-02-12,2026-01-12,2026-02-11,146780392,141170182,30
P0246,Project_246,Industrial,Gamuda,2024-04-28,2026-02-07,2026-02-07,149058614,151270818,0
P0247,Project_247,Residential,UEM,2023-11-28,2024-09-23,2025-03-01,29411960,38489964,159
P0248,Project_248,Infrastructure,SP Setia,2022-05-16,2024-01-21,2024-05-16,20498598,26081984,116
P0249,Project_249,Infrastructure,SP Setia,2022-01-23,2023-06-02,2023-06-02,63492437,58149639,0
P0250,Project_250,Commercial,SP Setia,2022-03-07,2023-12-11,2023-12-11,131720648,137398259,0
P0251,Project_251,Industrial,Gamuda,2024-01-17,2025-06-20,2025-10-03,125403269,176148967,105
P0252,Project_252,Commercial,SP Setia,2023-12-01,2025-09-03,2025-09-03,36845349,40089230,0
P0253,Project_253,Industrial,IJM,2022-08-17,2022-11-18,2022-11-18,129286662,140994327,0
P0254,Project_254,Residential,Gamuda,2022-09-11,2024-03-25,2024-03-25,78994161,95292462,0
P0255,Project_255,Residential,UEM,2024-04-08,2025-09-09,2025-09-09,69603366,65100992,0
P0256,Project_256,Residential,IJM,2023-09-05,2024-01-22,2024-01-22,112982282,123028207,0
P0257,Project_257,Commercial,UEM,2023-05-31,2024-06-20,2024-06-20,91077887,109902813,0
P0258,Project_258,Infrastructure,SP Setia,2022-11-04,2023-11-10,2023-11-10,119675783,109672016,0
P0259,Project_259,Commercial,WCT,2023-11-19,2025-03-13,2025-03-13,116756293,117335517,0
P0260,Project_260,Industrial,UEM,2023-04-30,2024-03-31,2024-03-31,43749126,53380907,0
P0261,Project_261,Residential,UEM,2023-07-25,2025-04-17,2025-05-31,70191836,73241253,44
P0262,Project_262,Residential,Gamuda,2024-05-17,2025-08-29,2025-08-29,18834258,21391670,0
P0263,Project_263,Infrastructure,Gamuda,2022-07-12,2024-06-02,2024-06-02,133686402,162758046,0
P0264,Project_264,Industrial,IJM,2022-08-05,2023-05-16,2023-06-25,70120611,84325299,40
P0265,Project_265,Infrastructure,Sunway,2023-07-20,2024-09-11,2024-12-02,130158155,144510976,82
P0266,Project_266,Commercial,Sunway,2023-06-10,2025-01-29,2025-01-29,131027875,132610907,0
P0267,Project_267,Industrial,Sunway,2022-11-17,2024-04-13,2024-04-13,44170830,48307827,0
P0268,Project_268,Infrastructure,Sunway,2022-06-06,2023-03-23,2023-03-23,106962462,105465576,0
P0269,Project_269,Commercial,IJM,2024-02-21,2025-10-03,2026-03-26,128702842,164952843,174
P0270,Project_270,Residential,SP Setia,2024-01-08,2025-10-18,2025-10-18,20765765,24787553,0
P0271,Project_271,Commercial,WCT,2022-02-19,2022-05-26,2022-05-26,67124928,63960684,0
P0272,Project_272,Industrial,Gamuda,2023-04-12,2024-07-27,2024-08-21,135957415,148778178,25
P0273,Project_273,Industrial,IJM,2022-01-18,2023-10-12,2023-10-12,9601680,10986728,0
P0274,Project_274,Infrastructure,Sunway,2022-04-20,2022-10-25,2022-10-25,69684579,75556173,0
P0275,Project_275,Commercial,Sunway,2024-03-25,2025-08-03,2025-08-03,113992152,112296263,0
P0276,Project_276,Industrial,Gamuda,2023-12-02,2024-05-22,2024-05-22,30098850,31062294,0
